CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Avg_Open_To_Buy;Total_Trans_Amt;Total_Trans_Ct
768805383;Existing Customer;45;M;3;High School;Married;$60K - $80K;Blue;39;5;1;3;12691;11914;1144;42
818770008;Existing Customer;49;F;5;Graduate;Single;Less than $40K;Blue;44;6;1;2;8256;7392;1291;33
713982108;Existing Customer;51;M;3;Graduate;Married;$80K - $120K;Blue;36;4;1;0;3418;3418;1887;20
769911858;Existing Customer;40;F;4;High School;Unknown;Less than $40K;Blue;34;3;4;1;3313;796;1171;20
709106358;Existing Customer;40;M;3;Uneducated;Married;$60K - $80K;Blue;21;5;1;0;4716;4716;816;28
713061558;Existing Customer;44;M;2;Graduate;Married;$40K - $60K;Blue;36;3;1;2;4010;2763;1088;24
810347208;Existing Customer;51;M;4;Unknown;Married;$120K +;Gold;46;6;1;3;34516;32252;1330;31
818906208;Existing Customer;32;M;0;High School;Unknown;$60K - $80K;Silver;27;2;2;2;29081;27685;1538;36
710930508;Existing Customer;37;M;3;Uneducated;Single;$60K - $80K;Blue;36;5;2;0;22352;19835;1350;24
719661558;Existing Customer;48;M;2;Graduate;Single;$80K - $120K;Blue;36;6;3;3;11656;9979;1441;32
708790833;Existing Customer;42;M;5;Uneducated;Unknown;$120K +;Blue;31;5;3;2;6748;5281;1201;42
710821833;Existing Customer;65;M;1;Unknown;Married;$40K - $60K;Blue;54;6;2;3;9095;7508;1314;26
710599683;Existing Customer;56;M;1;College;Single;$80K - $120K;Blue;36;3;6;0;11751;11751;1539;17
816082233;Existing Customer;35;M;3;Graduate;Unknown;$60K - $80K;Blue;30;5;1;3;8547;6881;1311;33
712396908;Existing Customer;57;F;2;Graduate;Married;Less than $40K;Blue;48;5;2;2;2436;1756;1570;29
714885258;Existing Customer;44;M;4;Unknown;Unknown;$80K - $120K;Blue;37;5;1;2;4234;3262;1348;27
709967358;Existing Customer;48;M;4;Post-Graduate;Single;$80K - $120K;Blue;36;6;2;3;30367;28005;1671;27
753327333;Existing Customer;41;M;3;Unknown;Married;$80K - $120K;Blue;34;4;4;1;13535;12244;1028;21
806160108;Existing Customer;61;M;1;High School;Married;$40K - $60K;Blue;56;2;2;3;3193;676;1336;30
709327383;Existing Customer;45;F;2;Graduate;Married;Unknown;Blue;37;6;1;2;14470;13313;1207;21
806165208;Existing Customer;47;M;1;Doctorate;Divorced;$60K - $80K;Blue;42;5;2;0;20979;19179;1178;27
708508758;Attrited Customer;62;F;0;Graduate;Married;Less than $40K;Blue;49;2;3;3;5676;6767;692;16
