dtReference,idVendedor,qtde_boleto,qtde_credit_card,qtde_debit_card,qtde_voucher,valor_boleto,valor_credit_card,valor_debit_card,valor_voucher,proporcao_qtde_boleto,proporcao_qtde_credit_card,proporcao_qtde_debit_card,proporcao_qtde_voucher,proporcao_valor_boleto,proporcao_valor_credit_card,proporcao_valor_debit_card,proporcao_valor_voucher,avgQtdParcelas,MaxQtdParcelas,MinQtdParcelas
2018-01-01,0015a82c2db000af6aaaf3ae2ecb0532,0,3,0,0,0.0,2748.06,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,7.333333333333333,10.0,4.0
2018-01-01,001cca7ae9ae17fb1caed9dfb1094831,18,77,2,1,3196.5699999999997,12912.36,264.16,140.08,0,0,0,0,0.19357700550530269,0.7819431399301284,0.015996928512211767,0.008482926052356997,4.077922077922078,10.0,1.0
2018-01-01,002100f778ceb8431b7a1020ff7ab48f,16,21,0,5,611.49,710.6299999999999,0.0,139.68,0,0,0,0,0.4183130387193871,0.486133533999179,0.0,0.09555342728143386,1.8095238095238095,5.0,1.0
2018-01-01,003554e2dce176b5555353e4f3555ac8,0,1,0,0,0.0,139.38,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,3.0,3.0,3.0
2018-01-01,004c9cd9d87a3c30c522c48c4fc07416,18,63,0,4,2405.2300000000005,8432.13,0.0,445.0299999999999,0,0,0,0,0.2131844405307741,0.7473709027963046,0.0,0.03944465667292124,5.222222222222222,11.0,1.0
2018-01-01,00ee68308b45bc5e2660cd833c3f81cc,4,37,0,1,588.98,5032.4,0.0,88.71000000000001,0,0,0,0,0.1031472358579287,0.8813171070858778,0.0,0.015535657056193513,4.657894736842105,10.0,1.0
2018-01-01,010543a62bd80aa422851e79a3bc7540,0,2,0,0,0.0,1447.95,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,6.5,10.0,3.0
2018-01-01,013900e863eace745d3ec7614cab5b1a,0,8,0,0,0.0,837.6299999999999,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,4.5,12.0,1.0
2018-01-01,014c0679dd340a0e338872e7ec85666a,0,3,0,0,0.0,1329.31,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,13.333333333333334,20.0,10.0
2018-01-01,014d9a685fd57276679edd00e07089e5,1,0,0,0,133.37,0.0,0.0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,,,
2018-01-01,0176f73cc1195f367f7b32db1e5b3aa8,0,3,0,0,0.0,706.16,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,5.666666666666667,10.0,2.0
2018-01-01,01bcc9d254a0143f0ce9791b960b2a47,2,7,0,1,270.1,1076.1100000000001,0.0,113.16000000000001,0,0,0,0,0.18507986322865347,0.7373798282820669,0.0,0.07754030848927962,1.7142857142857142,3.0,1.0
2018-01-01,01c97ebb5cdac52891c0ed1c37ba0012,1,2,0,0,42.09,129.69,0.0,0.0,0,0,0,0,0.2450227034579113,0.7549772965420887,0.0,0.0,1.5,2.0,1.0
2018-01-01,01cf7e3d21494c41fb86034f2e714fa1,2,17,0,2,282.18,3265.3800000000006,0.0,100.0,0,0,0,0,0.07736130454331114,0.8952231080503131,0.0,0.027415587406375765,4.470588235294118,10.0,1.0
2018-01-01,01ed254b9ff8407dfb9d99ba1e17d923,0,5,0,0,0.0,1533.71,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,4.8,10.0,1.0
2018-01-01,01fdefa7697d26ad920e9e0346d4bd1b,13,42,0,1,1502.7000000000003,6935.370000000001,0.0,89.97,0,0,0,0,0.17620695962964528,0.8132431367582704,0.0,0.01054990361208437,4.5,18.0,1.0
2018-01-01,0241d4d5d36f10f80c644447315af0bd,8,16,0,1,555.38,1483.17,0.0,55.01,0,0,0,0,0.26528019259061114,0.7084439901411949,0.0,0.026275817268193884,4.4375,10.0,1.0
2018-01-01,0249d282d911d23cb8b869ab49c99f53,2,8,0,0,99.78999999999999,435.45000000000005,0.0,0.0,0,0,0,0,0.1864397279724983,0.8135602720275018,0.0,0.0,2.125,4.0,1.0
2018-01-01,028872bfa080090a9d0abd4f1af168f8,0,1,0,0,0.0,117.87,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2018-01-01,02c988090b766852e088c69d7fb3b551,1,4,0,1,92.95,572.7,0.0,51.89000000000001,0,0,0,0,0.12953981659559047,0.7981436574964462,0.0,0.07231652590796332,3.75,10.0,1.0
2018-01-01,02d35243ea2e497335cd0f076b45675d,2,7,0,1,577.54,4518.05,0.0,297.27,0,0,0,0,0.10709345319552147,0.837783662101371,0.0,0.05512288470310743,4.285714285714286,10.0,1.0
2018-01-01,02dcd3e8e25bee036e32512bcf175493,0,1,0,0,0.0,180.58,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,3.0,3.0,3.0
2018-01-01,02ecc2a19303f05e59ce133fd923fff7,1,7,0,0,147.35,2341.73,0.0,0.0,0,0,0,0,0.05919857939479647,0.9408014206052036,0.0,0.0,7.75,10.0,1.0
2018-01-01,02f5837340d7eb4f653d676c7256523a,1,11,0,0,147.15,1670.88,0.0,0.0,0,0,0,0,0.08093925842807874,0.9190607415719212,0.0,0.0,3.3636363636363638,7.0,1.0
2018-01-01,04308b1ee57b6625f47df1d56f00eedf,2,5,0,0,2814.3999999999996,5770.639999999999,0.0,0.0,0,0,0,0,0.3278260788534474,0.6721739211465526,0.0,0.0,3.8,8.0,2.0
2018-01-01,0432ead42b6c8a0bdf68154add917fdf,8,36,0,2,1044.8899999999999,3480.3999999999996,0.0,97.68,0,0,0,0,0.22602136721631333,0.7528493587455684,0.0,0.021129274038118356,3.861111111111111,11.0,1.0
2018-01-01,048c2757535328e0d7dac690ad3c0aae,2,13,0,0,438.69,2598.0099999999998,0.0,0.0,0,0,0,0,0.14446273915763824,0.8555372608423617,0.0,0.0,3.769230769230769,6.0,1.0
2018-01-01,04aa0a1c5ce6b222003403a3e11c3cc0,1,5,0,0,401.3,3120.1899999999996,0.0,0.0,0,0,0,0,0.1139574441500615,0.8860425558499384,0.0,0.0,7.0,10.0,4.0
2018-01-01,04aba03279157f6d4e0fe8ccaf21963c,0,7,0,0,0.0,1316.04,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,6.142857142857143,10.0,2.0
2018-01-01,04e38a233f726ef161074ab1c9b0399a,4,10,1,0,396.88,685.91,31.24,0.0,0,0,0,0,0.35625611518540795,0.615701552022836,0.028042332791756056,0.0,1.8,4.0,1.0
2018-01-01,04fdea0c111866e6cf812f1570d6b5bd,0,4,0,0,0.0,569.27,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,4.25,10.0,1.0
2018-01-01,0509040ea3fe50071181bbc359eb7738,11,37,0,1,581.1699999999998,1990.0400000000004,0.0,38.71,0,0,0,0,0.2226773234428641,0.7624908043158413,0.0,0.014831872241294753,2.2162162162162162,8.0,1.0
2018-01-01,052577151711aec5c744fe12e66db3e1,2,2,0,0,1526.5900000000001,1443.83,0.0,0.0,0,0,0,0,0.5139306899361034,0.48606931006389664,0.0,0.0,10.0,10.0,10.0
2018-01-01,054694fa03fe82cec4b7551487331d74,0,3,0,0,0.0,1331.32,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,3.0,5.0,2.0
2018-01-01,056b4ada5bbc2c50cc7842547dda6b51,0,4,0,0,0.0,1057.19,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,6.75,10.0,3.0
2018-01-01,058cb5aeb36d7c0fcae20fc85d5e0a59,0,3,0,0,0.0,420.41,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,7.666666666666667,10.0,3.0
2018-01-01,058fd0aa2bfdb2274e05e1ae971dabb6,9,27,0,1,1369.7799999999997,3563.78,0.0,100.0,0,0,0,0,0.27212946701737933,0.7080038779710583,0.0,0.019866655011562394,3.888888888888889,7.0,1.0
2018-01-01,05a940b4ecae36cadfd8e93bd9c43257,2,5,0,0,208.32,319.78999999999996,0.0,0.0,0,0,0,0,0.3944632746965595,0.6055367253034406,0.0,0.0,2.2,5.0,1.0
2018-01-01,05d2173d43ea568aa0540eba70d2ca76,3,9,0,0,329.41999999999996,990.02,0.0,0.0,0,0,0,0,0.24966652519250587,0.750333474807494,0.0,0.0,1.7777777777777777,6.0,1.0
2018-01-01,05f51e13da97139648b8125c31e5f51b,9,47,0,0,2956.8,11358.090000000002,0.0,0.0,0,0,0,0,0.20655415445036598,0.7934458455496339,0.0,0.0,4.319148936170213,10.0,1.0
2018-01-01,05feb94f19d094d4b0f9281f0b1d4c99,1,3,0,0,1416.7,4962.049999999999,0.0,0.0,0,0,0,0,0.22209680580050956,0.7779031941994905,0.0,0.0,8.5,10.0,6.0
2018-01-01,05ff92fedb5be47920fea08e501238b9,2,17,0,0,693.67,5336.38,0.0,0.0,0,0,0,0,0.11503553038532018,0.8849644696146798,0.0,0.0,3.9411764705882355,10.0,1.0
2018-01-01,062ce95fa2ad4dfaedfc79260130565f,2,10,0,0,114.2,1924.2600000000002,0.0,0.0,0,0,0,0,0.05602268379070474,0.9439773162092953,0.0,0.0,4.4,10.0,1.0
2018-01-01,06532f10282704ef4c69168b914b77be,1,1,0,0,1877.84,715.9,0.0,0.0,0,0,0,0,0.7239892973081342,0.27601070269186584,0.0,0.0,4.0,4.0,4.0
2018-01-01,06579cb253ecd5a3a12a9e6eb6bf8f47,6,25,0,1,826.6899999999999,2148.6599999999994,0.0,60.91,0,0,0,0,0.2722724667847945,0.7076666688623503,0.0,0.02006086435285516,3.68,9.0,1.0
2018-01-01,066a6914e1ebf3ea95a216c73a986b91,1,7,0,0,140.06,1187.2,0.0,0.0,0,0,0,0,0.10552566942422736,0.8944743305757726,0.0,0.0,2.7142857142857144,8.0,1.0
2018-01-01,0691148aee60ca47977c187804f935ae,0,5,0,0,0.0,329.27,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,3.0,6.0,1.0
2018-01-01,06bb3a2fe5e7b7a845b13e8fb91bd944,3,6,0,0,331.85,662.3,0.0,0.0,0,0,0,0,0.33380274606447724,0.6661972539355228,0.0,0.0,3.5,8.0,1.0
2018-01-01,06e5eefc71ec47ae763c5c6f8db7064f,4,15,0,0,1118.4,3595.2,0.0,0.0,0,0,0,0,0.23727087576374745,0.7627291242362525,0.0,0.0,3.8666666666666667,10.0,1.0
2018-01-01,070d165398b553f3b4b851c216b8a358,1,5,0,0,55.36,899.57,0.0,0.0,0,0,0,0,0.05797283570523493,0.9420271642947651,0.0,0.0,5.6,20.0,1.0
2018-01-01,0761743cbffb25d7148189e9f1a5f03a,1,0,0,0,235.05,0.0,0.0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,,,
2018-01-01,077c5fae4bea9500e3737b16f71b9d3a,2,1,0,0,29.34,25.71,0.0,0.0,0,0,0,0,0.5329700272479564,0.4670299727520436,0.0,0.0,1.0,1.0,1.0
2018-01-01,07bf9669d84d1f11be443a9dd938f698,0,7,1,0,0.0,940.91,89.75,0.0,0,0,0,0,0.0,0.9129198765839366,0.08708012341606351,0.0,5.285714285714286,10.0,2.0
2018-01-01,080102cd0a76b09e0dcf55fcacc60e05,4,13,0,2,238.88000000000002,785.1999999999999,0.0,91.17,0,0,0,0,0.21419412687738176,0.7040573862362698,0.0,0.08174848688634835,1.6153846153846154,4.0,1.0
2018-01-01,080199a181c46c657dc5aa235411be3b,2,21,1,0,383.44,3921.03,194.5,0.0,0,0,0,0,0.08522839672191634,0.8715394857045057,0.04323211757357795,0.0,3.857142857142857,10.0,1.0
2018-01-01,08061dc0fc165ed41288cc7acde738ee,1,1,0,1,24.01,17.72,0.0,20.0,0,0,0,0,0.3889518872509315,0.2870565365300502,0.0,0.3239915762190183,1.0,1.0,1.0
2018-01-01,081acf3de680d554796c9cf041be7bc2,0,1,0,0,0.0,424.62,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,8.0,8.0,8.0
2018-01-01,082e0bf4cb865a6533b1e8e498cc0255,2,2,0,0,671.48,434.58000000000004,0.0,0.0,0,0,0,0,0.6070918395023779,0.3929081604976222,0.0,0.0,5.0,5.0,5.0
2018-01-01,08633c14ef2db992c11f840f04fad4cd,0,3,0,0,0.0,272.49,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,2.6666666666666665,5.0,1.0
2018-01-01,0885aaf116795758dfeb5f1032487bcd,0,1,0,0,0.0,139.52,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,3.0,3.0,3.0
2018-01-01,0887a9f087bcd5d9f6642b52f897fc6c,0,2,0,0,0.0,348.63,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,5.5,7.0,4.0
2018-01-01,08d0949a9a17c027262db1f3c450c26c,0,1,0,0,0.0,64.82,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,5.0,5.0,5.0
2018-01-01,08d2d642cf72b622b14dde1d2f5eb2f5,4,9,1,0,202.29,612.3199999999999,33.0,0.0,0,0,0,0,0.23865928905982706,0.7224077110935454,0.03893299984662758,0.0,2.2222222222222223,10.0,1.0
2018-01-01,091065b789659bc3cd9af9cb3a6253ff,1,0,0,0,710.23,0.0,0.0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,,,
2018-01-01,093805f8f2aeb63881444571e1f48f30,8,11,0,1,591.4300000000001,855.71,0.0,47.62,0,0,0,0,0.3956688699189168,0.5724731729508417,0.0,0.03185795713024164,2.8181818181818183,10.0,1.0
2018-01-01,09883d9ab71c8fe8a9bfc7fc3075b07e,2,2,0,0,151.16,160.89999999999998,0.0,0.0,0,0,0,0,0.48439402678972,0.5156059732102801,0.0,0.0,3.5,5.0,2.0
2018-01-01,099095b050cfe8eb1ddff5317587e96e,1,0,0,0,893.12,0.0,0.0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,,,
2018-01-01,09f952a5f58d2285b0372551ae8f9b01,1,5,0,0,515.81,1955.3600000000001,0.0,0.0,0,0,0,0,0.2087310868940623,0.7912689131059377,0.0,0.0,6.0,10.0,3.0
2018-01-01,0ac4201fda2c68ebc0e47cb9423cf3c9,1,2,0,0,414.54,102.86000000000001,0.0,0.0,0,0,0,0,0.8011982991882488,0.19880170081175105,0.0,0.0,3.0,5.0,1.0
2018-01-01,0ad80de75c811326389cfb1daba7d45e,1,4,0,0,187.34,1125.38,0.0,0.0,0,0,0,0,0.14271131696020475,0.8572886830397953,0.0,0.0,3.75,10.0,1.0
