dtReference,idVendedor,qtdPedidos,qtdDias,qtdItens,qtdRecencia,avgTicket,avgValorProduto,maxValorProduto,minValorProduto,avgProdutoPedido,maxVlPedido,minVlPedido,LTV,qtdDiasBase,avgIntervaloVendas
2018-01-01,0015a82c2db000af6aaaf3ae2ecb0532,3,3,3,74.65516203688458,895.0,895.0,895.0,895.0,1,895.0,895.0,2685.0,901,10.253315972164273
2018-01-01,001cca7ae9ae17fb1caed9dfb1094831,98,68,116,4.034988426137716,121.8158163265306,102.91336206896551,129.0,79.0,1,297.0,79.0,21638.23000000001,901,0.9247443181928248
2018-01-01,002100f778ceb8431b7a1020ff7ab48f,39,30,43,3.1433912036009133,20.505128205128187,18.597674418604637,49.9,9.9,1,49.9,9.9,799.6999999999994,901,1.8929026124422395
2018-01-01,003554e2dce176b5555353e4f3555ac8,1,1,1,16.713599537033588,120.0,120.0,120.0,120.0,1,120.0,120.0,120.0,901,
2018-01-01,004c9cd9d87a3c30c522c48c4fc07416,84,66,87,8.097696759272367,111.26047619047606,107.42390804597687,233.8,47.9,1,233.8,47.9,16445.85999999998,901,1.4135897125139139
2018-01-01,00ee68308b45bc5e2660cd833c3f81cc,41,28,50,1.3486805553548038,116.29268292682927,95.36,250.0,62.0,1,255.0,70.0,4768.0,901,1.6456846707914439
2018-01-01,010543a62bd80aa422851e79a3bc7540,2,2,2,151.42385416664183,708.0,708.0,708.0,708.0,1,708.0,708.0,1416.0,901,28.25408564833924
2018-01-01,013900e863eace745d3ec7614cab5b1a,8,7,11,9.389305555727333,77.83749999999999,56.6090909090909,64.0,54.0,1,162.0,55.9,768.6999999999999,901,14.706394675944466
2018-01-01,014c0679dd340a0e338872e7ec85666a,3,3,3,17.369374999776483,388.0,388.0,589.0,175.0,1,589.0,175.0,2572.0,901,46.746475694235414
2018-01-01,014d9a685fd57276679edd00e07089e5,1,1,1,40.44305555569008,69.99,69.99,69.99,69.99,1,69.99,69.99,69.99,901,
