Naive Bayes,Árvore,Random Forest,Regras,kNN,Logística,SVM,RNA
8,4,2,6,5,7,3,1
8,3.5,2,6,5,7,3.5,1
8,2,3,6,5,7,4,1
8,4,3,6,5,7,2,1
8,3,2,6,5,7,4,1
8,3,2,6,5,7,4,1
8,3,2,6,5,7,4,1
8,4,2,6,5,7,3,1
8,4,2,6,5,7,3,1
8,4,2,6,5,7,3,1
8,3.5,2,6,5,7,3.5,1
8,4,2,6,5,7,3,1
8,5,3,6,4,7,2,1
8,4,3,6,5,7,2,1
8,5,3,6,4,7,2,1
8,4,2,6,5,7,3,1
8,3,2,6,5,7,4,1
8,4,3,6,5,7,2,1
8,4,2.5,6,5,7,2.5,1
8,3,2,6,5,7,4,1
8,2.5,2.5,6,5,7,4,1
8,2,3,6,5,7,4,1
8,4,2,6,5,7,3,1
8,4,2,6,5,7,3,1
8,4,2,6,5,7,3,1
8,3,2,6,5,7,4,1
8,4,2,6,5,7,3,1
8,3.5,3.5,6,5,7,2,1
8,3,2,6,5,7,4,1
8,4,2.5,6,5,7,2.5,1
