Date,Commodities,RealEstate
Date: 2018-01-02,8.21,21.24
Date: 2018-01-03,8.23,21.27
Date: 2018-01-04,8.25,20.97
Date: 2018-01-05,8.25,21.02
Date: 2018-01-08,8.24,21.05
Date: 2018-01-09,8.2,20.93
Date: 2018-01-10,8.23,20.7
Date: 2018-01-11,8.25,20.64
Date: 2018-01-12,8.33,20.61
Date: 2018-01-16,8.35,20.62
Date: 2018-01-17,8.36,20.79
Date: 2018-01-18,8.29,20.66
Date: 2018-01-19,8.32,20.72
Date: 2018-01-22,8.32,20.89
Date: 2018-01-23,8.35,21.1
Date: 2018-01-24,8.47,21.1
Date: 2018-01-25,8.52,21.04
Date: 2018-01-26,8.45,21.07
Date: 2018-01-29,8.45,20.79
Date: 2018-01-30,8.35,20.65
Date: 2018-01-31,8.37,20.94
Date: 2018-02-01,8.4,20.62
Date: 2018-02-02,8.34,20.34
Date: 2018-02-05,8.33,19.69
Date: 2018-02-06,8.29,19.82
Date: 2018-02-07,8.2,19.67
Date: 2018-02-08,8.23,19.2
Date: 2018-02-09,8.21,19.53
Date: 2018-02-12,8.28,19.62
Date: 2018-02-13,8.3,19.7
Date: 2018-02-14,8.47,19.69
Date: 2018-02-15,8.45,19.84
Date: 2018-02-16,8.46,20.0
Date: 2018-02-20,8.31,19.82
Date: 2018-02-21,8.31,19.52
Date: 2018-02-22,8.32,19.68
Date: 2018-02-23,8.3,19.96
Date: 2018-02-26,8.32,20.04
Date: 2018-02-27,8.22,19.65
Date: 2018-02-28,8.22,19.56
Date: 2018-03-01,8.14,19.58
Date: 2018-03-02,8.26,19.67
Date: 2018-03-05,8.24,19.82
Date: 2018-03-06,8.33,19.87
Date: 2018-03-07,8.29,20.01
Date: 2018-03-08,8.25,20.01
Date: 2018-03-09,8.27,20.13
Date: 2018-03-12,8.25,20.14
Date: 2018-03-13,8.29,20.08
Date: 2018-03-14,8.28,20.16
Date: 2018-03-15,8.23,20.12
Date: 2018-03-16,8.2,20.19
Date: 2018-03-19,8.23,20.13
Date: 2018-03-20,8.19,20.06
Date: 2018-03-21,8.25,20.02
Date: 2018-03-22,8.29,19.79
Date: 2018-03-23,8.43,19.56
Date: 2018-03-26,8.47,19.79
Date: 2018-03-27,8.38,19.77
Date: 2018-03-28,8.28,20.12
Date: 2018-03-29,8.27,20.23
Date: 2018-04-02,8.39,19.95
Date: 2018-04-03,8.33,20.18
Date: 2018-04-04,8.35,20.37
Date: 2018-04-05,8.28,20.29
Date: 2018-04-06,8.32,20.15
Date: 2018-04-09,8.35,20.18
Date: 2018-04-10,8.39,20.25
Date: 2018-04-11,8.48,20.24
Date: 2018-04-12,8.37,20.11
Date: 2018-04-13,8.41,20.16
Date: 2018-04-16,8.42,20.25
Date: 2018-04-17,8.42,20.44
Date: 2018-04-18,8.44,20.41
Date: 2018-04-19,8.42,20.17
Date: 2018-04-20,8.35,20.02
Date: 2018-04-23,8.27,19.93
Date: 2018-04-24,8.32,19.99
Date: 2018-04-25,8.26,19.93
Date: 2018-04-26,8.23,20.21
Date: 2018-04-27,8.25,20.44
Date: 2018-04-30,8.23,20.43
Date: 2018-05-01,8.15,20.58
Date: 2018-05-02,8.14,20.46
Date: 2018-05-03,8.19,20.53
Date: 2018-05-04,8.2,20.63
Date: 2018-05-07,8.2,20.79
Date: 2018-05-08,8.2,20.68
Date: 2018-05-09,8.2,20.78
Date: 2018-05-10,8.26,20.92
Date: 2018-05-11,8.24,20.88
Date: 2018-05-14,8.23,20.77
Date: 2018-05-15,8.06,20.41
Date: 2018-05-16,8.06,20.35
Date: 2018-05-17,8.05,20.29
Date: 2018-05-18,8.06,20.26
Date: 2018-05-21,8.06,20.49
Date: 2018-05-22,8.07,20.49
Date: 2018-05-23,8.06,20.69
Date: 2018-05-24,8.15,20.7
Date: 2018-05-25,8.15,20.72
Date: 2018-05-29,8.12,20.69
Date: 2018-05-30,8.13,21.01
Date: 2018-05-31,8.13,20.91
Date: 2018-06-01,8.09,21.01
Date: 2018-06-04,8.08,21.16
Date: 2018-06-05,8.11,21.14
Date: 2018-06-06,8.11,21.19
Date: 2018-06-07,8.12,21.15
Date: 2018-06-08,8.11,21.24
Date: 2018-06-11,8.12,21.15
Date: 2018-06-12,8.09,21.21
Date: 2018-06-13,8.11,20.92
Date: 2018-06-14,8.15,21.03
Date: 2018-06-15,7.97,21.02
Date: 2018-06-18,7.98,21.0
Date: 2018-06-19,7.97,20.9
Date: 2018-06-20,7.94,21.12
Date: 2018-06-21,7.92,21.14
Date: 2018-06-22,7.92,21.36
Date: 2018-06-25,7.91,21.28
Date: 2018-06-26,7.85,21.32
Date: 2018-06-27,7.83,21.19
Date: 2018-06-28,7.8,21.38
Date: 2018-06-29,7.82,21.41
Date: 2018-07-02,7.75,21.29
Date: 2018-07-03,7.82,21.41
Date: 2018-07-05,7.86,21.65
Date: 2018-07-06,7.84,21.76
Date: 2018-07-09,7.86,21.7
Date: 2018-07-10,7.84,21.7
Date: 2018-07-11,7.77,21.52
Date: 2018-07-12,7.78,21.62
Date: 2018-07-13,7.75,21.6
Date: 2018-07-16,7.74,21.53
Date: 2018-07-17,7.66,21.41
Date: 2018-07-18,7.66,21.37
Date: 2018-07-19,7.64,21.46
Date: 2018-07-20,7.68,21.4
Date: 2018-07-23,7.65,21.36
Date: 2018-07-24,7.65,21.34
Date: 2018-07-25,7.7,21.49
Date: 2018-07-26,7.66,21.44
Date: 2018-07-27,7.64,21.3
Date: 2018-07-30,7.63,21.35
Date: 2018-07-31,7.65,21.6
Date: 2018-08-01,7.61,21.61
Date: 2018-08-02,7.57,21.61
Date: 2018-08-03,7.59,21.8
Date: 2018-08-06,7.55,21.78
Date: 2018-08-07,7.56,21.77
Date: 2018-08-08,7.58,21.69
Date: 2018-08-09,7.57,21.68
Date: 2018-08-10,7.57,21.43
Date: 2018-08-13,7.45,21.39
Date: 2018-08-14,7.46,21.46
Date: 2018-08-15,7.36,21.57
Date: 2018-08-16,7.35,21.73
Date: 2018-08-17,7.35,21.97
Date: 2018-08-20,7.42,22.01
Date: 2018-08-21,7.45,21.92
Date: 2018-08-22,7.48,21.83
Date: 2018-08-23,7.42,21.76
Date: 2018-08-24,7.54,21.86
Date: 2018-08-27,7.56,21.9
Date: 2018-08-28,7.55,22.06
Date: 2018-08-29,7.53,22.06
Date: 2018-08-30,7.49,21.9
Date: 2018-08-31,7.5,21.94
Date: 2018-09-04,7.45,21.72
Date: 2018-09-05,7.47,21.81
Date: 2018-09-06,7.49,21.86
Date: 2018-09-07,7.46,21.66
Date: 2018-09-10,7.46,21.72
Date: 2018-09-11,7.47,21.72
Date: 2018-09-12,7.53,21.8
Date: 2018-09-13,7.51,21.87
Date: 2018-09-14,7.47,21.73
Date: 2018-09-17,7.5,21.78
Date: 2018-09-18,7.48,21.79
Date: 2018-09-19,7.51,21.54
Date: 2018-09-20,7.54,21.72
Date: 2018-09-21,7.48,21.65
Date: 2018-09-24,7.5,21.41
Date: 2018-09-25,7.5,21.37
Date: 2018-09-26,7.46,21.29
Date: 2018-09-27,7.39,21.31
Date: 2018-09-28,7.45,21.47
Date: 2018-10-01,7.42,21.35
Date: 2018-10-02,7.52,21.25
Date: 2018-10-03,7.49,21.04
Date: 2018-10-04,7.48,20.75
Date: 2018-10-05,7.51,20.8
Date: 2018-10-08,7.4,21.03
Date: 2018-10-09,7.42,21.15
Date: 2018-10-10,7.43,20.87
Date: 2018-10-11,7.65,20.44
Date: 2018-10-12,7.61,20.44
Date: 2018-10-15,7.67,20.47
Date: 2018-10-16,7.67,20.84
Date: 2018-10-17,7.65,20.82
Date: 2018-10-18,7.67,20.72
Date: 2018-10-19,7.66,20.83
Date: 2018-10-22,7.63,20.66
Date: 2018-10-23,7.71,20.71
Date: 2018-10-24,7.67,20.68
Date: 2018-10-25,7.68,21.01
Date: 2018-10-26,7.7,20.67
Date: 2018-10-29,7.65,20.81
Date: 2018-10-30,7.64,20.99
Date: 2018-10-31,7.58,20.75
Date: 2018-11-01,7.72,20.9
Date: 2018-11-02,7.69,20.71
Date: 2018-11-05,7.69,21.0
Date: 2018-11-06,7.65,21.1
Date: 2018-11-07,7.66,21.43
Date: 2018-11-08,7.64,21.41
Date: 2018-11-09,7.54,21.35
Date: 2018-11-12,7.51,21.29
Date: 2018-11-13,7.49,21.35
Date: 2018-11-14,7.55,21.37
Date: 2018-11-15,7.58,21.18
Date: 2018-11-16,7.63,21.36
Date: 2018-11-19,7.64,21.34
Date: 2018-11-20,7.62,21.18
Date: 2018-11-21,7.66,21.22
Date: 2018-11-23,7.63,21.24
Date: 2018-11-26,7.63,21.31
Date: 2018-11-27,7.57,21.35
Date: 2018-11-28,7.63,21.6
Date: 2018-11-29,7.65,21.49
Date: 2018-11-30,7.63,21.53
Date: 2018-12-03,7.71,21.67
Date: 2018-12-04,7.76,21.35
Date: 2018-12-06,7.74,21.83
Date: 2018-12-07,7.79,21.64
Date: 2018-12-10,7.77,21.51
Date: 2018-12-11,7.76,21.5
Date: 2018-12-12,7.78,21.24
Date: 2018-12-13,7.77,21.31
Date: 2018-12-14,7.73,21.29
Date: 2018-12-17,7.8,20.65
Date: 2018-12-18,7.81,20.89
Date: 2018-12-19,7.83,20.65
Date: 2018-12-20,7.9,20.46
Date: 2018-12-21,7.84,20.15
Date: 2018-12-24,7.92,19.66
Date: 2018-12-26,7.93,20.18
Date: 2018-12-27,7.98,20.16
Date: 2018-12-28,8.0,20.25
Date: 2018-12-31,7.99,20.15
Date: 2019-01-02,8.01,19.91
Date: 2019-01-03,8.07,20.03
Date: 2019-01-04,8.02,20.34
Date: 2019-01-07,8.04,20.42
Date: 2019-01-08,8.02,20.8
Date: 2019-01-09,8.06,20.81
Date: 2019-01-10,8.03,21.04
Date: 2019-01-11,8.04,21.14
Date: 2019-01-14,8.06,21.01
Date: 2019-01-15,8.04,21.14
Date: 2019-01-16,8.07,21.33
Date: 2019-01-17,8.07,21.36
