Time,Open,High,Low,Close
2018-01-01 01:00:00,114.3,114.3,111.67,112.74
2018-01-01 02:00:00,112.74,113.3,109.63,110.03
2018-01-01 03:00:00,110.02,111.82,110.0,111.08
2018-01-01 04:00:00,111.09,113.43,110.75,111.75
2018-01-01 05:00:00,111.96,113.53,111.02,113.34
2018-01-01 06:00:00,113.46,114.16,112.72,112.99
2018-01-01 07:00:00,112.82,115.0,112.58,114.84
2018-01-01 08:00:00,114.83,115.15,112.96,113.09
2018-01-01 09:00:00,113.08,114.46,111.67,112.5
2018-01-01 10:00:00,112.5,113.92,112.16,113.47
2018-01-01 11:00:00,113.6,113.82,112.48,113.08
2018-01-01 12:00:00,113.11,113.25,108.34,110.17
2018-01-01 13:00:00,110.17,110.83,108.8,109.77
2018-01-01 14:00:00,109.58,110.0,106.8,108.48
2018-01-01 15:00:00,108.33,110.38,106.25,110.09
2018-01-01 16:00:00,110.09,111.08,109.34,110.39
2018-01-01 17:00:00,110.39,110.39,108.05,108.48
2018-01-01 18:00:00,108.48,109.99,108.33,108.52
2018-01-01 19:00:00,108.4,110.47,107.83,109.46
2018-01-01 20:00:00,109.46,110.76,109.22,110.34
2018-01-01 21:00:00,110.18,112.27,110.18,111.66
2018-01-01 22:00:00,111.66,113.17,111.51,112.34
2018-01-01 23:00:00,112.46,113.33,112.09,112.1
2018-01-02 00:00:00,112.13,112.5,111.29,111.5
2018-01-02 01:00:00,111.52,115.42,111.52,114.58
2018-01-02 02:00:00,114.75,115.0,113.25,113.33
2018-01-02 03:00:00,113.43,113.99,111.65,112.68
2018-01-02 04:00:00,112.67,112.83,110.27,111.28
2018-01-02 05:00:00,111.28,112.34,107.42,109.39
2018-01-02 06:00:00,109.41,110.37,109.09,109.72
2018-01-02 07:00:00,109.72,111.16,108.68,110.47
2018-01-02 08:00:00,110.47,111.33,109.58,111.19
2018-01-02 09:00:00,111.19,112.0,110.85,111.05
2018-01-02 10:00:00,111.19,112.7,111.05,112.1
2018-01-02 11:00:00,112.17,113.48,111.68,113.0
2018-01-02 12:00:00,113.05,113.11,111.68,112.42
2018-01-02 13:00:00,112.42,113.25,112.09,112.41
2018-01-02 14:00:00,112.41,115.62,112.25,115.54
2018-01-02 15:00:00,115.54,115.79,113.58,113.87
2018-01-02 16:00:00,113.84,114.5,112.58,114.08
2018-01-02 17:00:00,114.08,115.36,113.21,113.25
2018-01-02 18:00:00,113.33,115.0,112.52,114.83
2018-01-02 19:00:00,114.92,122.92,114.63,121.5
2018-01-02 20:00:00,121.47,128.95,120.67,122.77
2018-01-02 21:00:00,122.58,126.34,122.58,122.92
2018-01-02 22:00:00,122.92,124.54,121.2,122.44
2018-01-02 23:00:00,122.5,125.21,122.38,123.33
2018-01-03 00:00:00,123.33,124.06,121.67,122.29
2018-01-03 01:00:00,122.42,124.39,122.17,123.12
2018-01-03 02:00:00,122.98,123.78,122.17,123.5
2018-01-03 03:00:00,123.73,126.0,122.87,125.07
2018-01-03 04:00:00,125.07,127.5,122.92,123.49
2018-01-03 05:00:00,123.38,125.98,123.29,125.16
2018-01-03 06:00:00,125.26,125.96,124.17,124.9
2018-01-03 07:00:00,124.84,127.3,123.82,127.02
2018-01-03 08:00:00,127.02,127.56,126.09,126.42
2018-01-03 09:00:00,126.42,126.44,124.17,125.02
2018-01-03 10:00:00,125.02,125.4,120.33,121.0
2018-01-03 11:00:00,120.84,123.79,117.92,120.46
2018-01-03 12:00:00,120.46,123.1,118.33,122.75
2018-01-03 13:00:00,123.04,123.32,120.0,120.42
