Date,USEquity,Europe,EmergMarkets,GovBonds,CorpBonds
2018-01-02,224.65,116.23,43.05,180.38,96.37
2018-01-03,226.09,117.0,43.47,180.8,96.63
2018-01-04,227.0,118.96,43.68,180.11,96.32
2018-01-05,228.6,120.25,44.06,180.3,96.54
2018-01-08,228.98,120.55,44.06,181.04,97.01
2018-01-09,229.27,120.76,43.99,181.4,97.13
2018-01-10,229.02,120.33,43.71,180.94,96.48
2018-01-11,230.63,119.84,43.98,179.26,96.19
2018-01-12,232.19,120.42,44.4,178.69,95.7
2018-01-16,231.37,120.73,44.23,178.05,95.11
2018-01-17,233.55,120.43,44.81,178.03,94.9
2018-01-18,233.17,120.7,44.87,177.78,94.4
2018-01-19,234.19,121.64,45.23,177.84,94.21
2018-01-22,236.08,122.18,45.49,177.73,94.09
2018-01-23,236.59,122.41,45.71,177.7,93.99
2018-01-24,236.46,121.44,46.09,177.02,93.06
2018-01-25,236.6,121.0,46.07,176.05,92.51
2018-01-26,239.41,121.58,46.7,176.74,93.13
2018-01-29,237.79,121.43,46.0,176.8,93.43
2018-01-30,235.2,120.22,45.37,176.5,93.14
2018-01-31,235.32,120.31,45.76,175.85,92.65
2018-02-01,235.16,119.25,45.14,175.4,92.52
2018-02-02,230.18,117.44,43.99,174.75,91.92
2018-02-05,220.74,115.96,42.44,175.1,91.85
2018-02-06,224.59,113.16,43.83,176.44,92.47
2018-02-07,223.47,115.15,42.44,176.94,93.14
2018-02-08,215.08,112.58,40.97,177.0,92.71
2018-02-09,218.3,110.87,41.63,177.3,92.4
2018-02-12,221.33,112.28,42.28,176.92,92.17
2018-02-13,221.91,111.36,42.61,176.48,91.2
2018-02-14,224.89,112.33,43.67,176.07,90.69
2018-02-15,227.6,112.99,44.57,175.6,90.44
2018-02-16,227.68,114.23,44.43,176.57,91.14
2018-02-20,226.36,114.5,43.82,176.65,91.45
2018-02-21,225.11,114.34,43.78,176.92,91.6
2018-02-22,225.33,114.4,43.81,177.1,91.47
2018-02-23,228.94,114.72,44.59,177.87,91.64
2018-02-26,231.63,115.44,45.0,177.53,92.0
2018-02-27,228.69,115.27,43.69,177.77,91.94
2018-02-28,226.15,114.63,43.06,178.55,92.27
2018-03-01,223.14,113.31,42.98,178.79,92.13
2018-03-02,224.27,110.82,43.16,178.05,91.13
2018-03-05,226.74,111.84,43.23,177.76,91.07
2018-03-06,227.34,111.93,43.63,176.99,90.83
2018-03-07,227.23,112.58,43.67,177.13,90.68
2018-03-08,228.25,113.78,43.68,177.99,91.33
2018-03-09,232.21,114.02,44.62,177.47,91.08
2018-03-12,231.92,114.32,44.72,177.85,91.07
2018-03-13,230.44,113.25,44.32,177.23,90.55
2018-03-14,229.12,113.03,44.39,177.88,90.94
2018-03-15,228.94,113.8,44.23,178.57,90.64
2018-03-16,229.33,114.58,44.13,178.9,90.89
2018-03-19,226.08,113.16,43.66,178.78,90.6
2018-03-20,226.41,113.74,44.14,179.01,90.7
2018-03-21,225.99,113.37,44.4,178.92,90.4
2018-03-22,220.31,111.61,42.92,179.39,90.27
2018-03-23,215.69,109.94,42.05,179.36,90.0
2018-03-26,221.55,109.29,43.41,178.49,89.43
2018-03-27,217.72,110.56,42.62,178.6,89.86
2018-03-28,217.08,111.04,42.41,179.32,90.74
2018-03-29,220.07,112.05,43.3,179.84,91.39
2018-04-02,215.16,,42.52,,
2018-04-03,217.87,111.56,42.94,179.94,91.35
2018-04-04,220.39,111.35,42.96,179.68,91.06
2018-04-05,221.9,114.33,43.06,179.58,91.64
2018-04-06,217.04,113.6,42.22,179.6,91.63
2018-04-09,217.76,113.83,42.27,179.05,91.19
2018-04-10,221.41,114.63,43.09,178.8,91.3
2018-04-11,220.18,113.99,43.11,178.81,91.06
2018-04-12,222.0,114.8,43.09,178.94,91.3
2018-04-13,221.36,114.93,42.66,178.9,91.29
2018-04-16,223.15,114.7,42.71,178.48,90.8
2018-04-17,225.53,115.93,42.8,178.9,91.07
2018-04-18,225.72,116.36,43.17,178.39,90.7
2018-04-19,224.43,116.22,42.92,177.96,90.14
2018-04-20,222.51,116.47,42.38,178.5,90.63
2018-04-23,222.52,117.1,42.04,178.27,90.71
2018-04-24,219.55,117.03,41.84,178.04,90.66
2018-04-25,219.95,116.19,41.52,178.16,90.52
2018-04-26,222.24,116.87,42.12,179.34,91.3
2018-04-27,222.49,117.29,42.38,179.53,91.59
2018-04-30,220.67,117.88,42.08,179.82,91.87
2018-05-01,221.23,,41.87,,
2018-05-02,219.64,118.46,41.54,180.44,92.23
2018-05-03,219.14,117.64,41.45,181.32,92.47
2018-05-04,221.95,118.35,41.64,181.22,92.47
2018-05-07,222.72,118.81,41.4,181.5,92.68
2018-05-08,222.66,118.6,41.63,181.67,92.8
2018-05-09,224.82,118.99,41.71,181.61,92.95
2018-05-10,226.92,,42.58,181.17,93.07
2018-05-11,227.31,118.85,42.51,180.94,93.03
2018-05-14,227.51,118.86,42.56,180.26,92.66
2018-05-15,225.95,118.81,41.68,180.67,92.9
2018-05-16,226.87,118.76,42.31,181.32,93.18
2018-05-17,226.68,119.74,41.66,180.94,93.07
2018-05-18,226.08,119.13,41.32,181.43,93.44
2018-05-21,227.75,,41.57,181.43,93.44
2018-05-22,227.04,119.58,41.71,180.89,93.32
2018-05-23,227.77,118.06,41.69,182.49,94.33
2018-05-24,227.31,117.39,41.47,182.98,94.51
