X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23
LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6
70000;2;2;2;26;2;0;0;2;2;2;41087;42445;45020;44006;46905;46012;2007;3582;0;3601;0;1820
230000;2;1;2;27;-1;-1;-1;-1;-1;-1;16646;17265;13266;15339;14307;36923;17270;13281;15339;14307;37292;0
50000;1;2;2;33;2;0;0;0;0;0;30518;29618;22102;22734;23217;23680;1718;1500;1000;1000;1000;716
50000;1;1;2;29;2;2;2;2;2;2;24987;24300;26591;25865;27667;28264;0;2700;0;2225;1200;0
10000;1;2;1;56;2;2;2;0;0;0;2097;4193;3978;4062;4196;4326;2300;0;150;200;200;160
20000;1;5;2;22;2;0;0;0;0;0;18565;17204;17285;18085;11205;5982;0;1200;1000;500;1000;0
160000;2;2;2;32;0;0;0;0;0;-1;3826;4751;6604;8604;7072;766;1147;2000;2000;0;766;2303
360000;1;1;1;43;-1;-1;-1;-1;-1;0;3967;8322;3394;6451;26370;9956;8339;3394;12902;27000;0;68978
50000;2;3;1;22;0;0;0;0;0;0;18722;18160;16997;13150;8866;7899;1411;1194;379;281;321;197
350000;1;1;2;52;-1;-1;-1;-1;-1;-1;713;2272;722;867;1150;5263;2272;722;867;1150;5263;5011
310000;2;2;1;35;2;0;0;0;0;0;304991;311243;306314;258610;246491;198889;13019;11128;8407;8599;6833;5987
210000;2;2;1;33;0;0;0;0;0;0;7166;7997;8792;9189;4404;5708;1500;1500;1000;500;2000;546
50000;1;2;2;27;2;-1;-1;-1;-1;2;390;390;780;216;1080;540;390;780;216;864;0;390
290000;1;3;1;47;-1;-1;-1;-1;0;-1;1234;396;396;792;396;423;396;396;792;0;423;369
250000;2;1;1;34;0;0;2;0;0;0;141223;156858;151841;152803;155997;160220;17994;0;5469;5656;6811;3920
100000;1;2;1;27;-1;2;2;0;0;0;102349;96847;58824;29336;22979;-246;3166;0;1330;1398;12;50000
80000;2;2;1;29;0;0;2;0;0;0;77883;81811;80250;61467;10662;11486;5800;1000;600;400;1000;0
80000;2;3;2;35;0;-1;0;0;0;0;49608;12412;14873;17364;17770;17460;12500;6500;3000;2000;3000;2000
50000;1;2;1;36;0;0;0;0;-1;-1;47790;18114;18250;-14;72;658;2000;1000;2000;500;1000;20011
210000;2;2;1;41;-1;-1;-1;-1;-1;-1;3088;1586;343;3763;877;0;1586;343;3763;877;0;419
110000;2;3;0;31;0;0;0;0;0;0;89989;84229;79288;73315;63818;63208;4000;5000;3000;3000;3000;8954
60000;2;2;1;33;0;0;0;0;0;0;58203;36367;20934;20694;20175;19421;1506;1298;1000;721;811;599
200000;2;2;2;33;0;0;0;0;0;0;11253;12852;14024;14512;16325;11905;2000;1322;2000;2000;1200;3000
440000;2;2;1;46;0;0;0;0;0;0;180641;181557;149944;113135;105280;97622;8610;6907;3727;3800;4001;2701
240000;2;2;1;46;0;0;0;0;0;0;8751;9900;10605;10765;11765;4311;1295;1000;1000;1000;1000;1000
10000;1;2;2;27;0;0;2;0;0;0;7015;10227;9560;9901;9963;10182;3507;0;500;370;393;700
210000;2;2;1;36;0;0;0;0;0;0;143225;142996;144415;148190;147993;131629;6483;5082;6000;5900;4544;4700
180000;1;2;2;29;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0
150000;1;1;1;40;2;2;2;2;2;2;99855;102586;100064;104975;107147;109428;5200;0;8100;4000;4200;4200
50000;2;2;1;31;0;0;0;0;0;0;46512;47716;49675;30929;30078;29170;1974;4406;1061;1073;1046;1047
200000;1;1;1;36;1;-2;-1;-1;-2;-1;-14386;-13543;3432;-3684;0;1386;10118;47015;0;4000;100000;10000
50000;2;2;1;37;2;2;2;0;0;0;1894;3200;3381;3559;1948;2415;1500;400;200;500;500;400
350000;1;1;1;38;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0
60000;2;3;3;42;0;0;0;0;0;0;41322;29091;28097;28665;28768;29064;1488;1394;962;1500;2541;2000
200000;1;1;1;52;-2;-2;-2;-2;-2;-2;3858;2690;3410;0;0;82150;2690;3487;0;0;85900;396
320000;2;1;2;27;0;0;0;0;0;0;55607;62893;59001;61565;59508;66541;11404;8232;10450;9697;16477;11341
280000;1;1;2;31;0;0;0;0;0;0;168382;175646;180650;182672;168399;167983;10000;8000;6371;6217;5947;6288
50000;2;3;1;35;-1;-1;-1;-2;-2;-2;22500;5000;0;0;0;0;5000;0;0;0;0;640
230000;2;2;2;38;-1;-1;-1;-1;-1;-1;10237;2795;1350;371;2980;0;2795;1350;371;2980;0;2213
490000;2;2;1;30;0;0;0;0;0;0;192586;197967;201666;205798;196698;190306;10000;7143;7306;6303;6429;6000
80000;2;2;1;32;-1;-1;-2;-2;-2;-2;11262;0;0;0;0;0;0;0;0;0;0;0
110000;1;3;1;37;0;0;0;0;0;0;61807;62499;62162;60605;60272;60145;2300;2200;2300;2200;2300;2300
50000;2;1;1;25;0;0;0;0;0;0;51044;50231;46677;44982;21399;20859;2500;3008;1000;761;800;704
200000;1;4;1;42;0;0;0;0;0;0;38564;38246;32253;30384;30900;0;5000;1485;1956;1500;0;2102
260000;1;2;2;37;0;0;0;-1;0;0;255691;262736;36638;122388;127402;131074;14000;5022;130000;7000;6000;6000
80000;1;2;2;42;0;0;0;0;0;0;78129;28202;78553;49340;48919;48443;2500;51432;1800;1800;1800;1700
50000;1;1;2;32;-1;0;0;0;0;-2;23974;24131;25326;25775;0;0;1800;1900;1300;0;0;0
230000;1;1;1;59;-1;0;0;0;0;0;208459;206331;203813;201331;198999;191671;7536;7277;7100;7120;6844;6945
180000;1;2;1;34;-1;-1;-1;-1;-1;-1;2927;2790;1140;2144;1180;1382;2790;1140;2144;1180;1382;2440
320000;1;2;1;39;0;0;0;0;0;0;93768;91523;91579;91193;92837;95323;3317;3506;4218;5000;6080;938
80000;2;1;1;28;0;0;0;0;0;0;8574;9434;10038;10040;10400;10490;1203;1047;248;408;294;276
50000;1;2;1;47;0;0;0;0;0;0;13917;16695;21320;18614;19003;19439;3000;5000;2000;618;679;500
20000;1;2;2;27;1;2;0;0;0;2;18649;18066;19040;19446;20759;20241;0;1594;1000;1606;0;300
620000;2;2;1;45;2;2;0;0;0;0;160837;156839;160440;163781;167159;170894;0;6200;6000;6000;6500;6000
100000;2;3;1;50;2;0;0;3;3;2;53849;55030;61574;62470;61198;62524;2050;7500;2500;0;2500;2500
200000;2;1;2;38;-1;-1;-2;-2;-1;-1;399;0;0;0;218;270;0;0;0;218;270;317
30000;2;2;1;36;2;3;2;2;0;0;28778;28039;28286;27533;28189;28805;0;1000;0;1100;1100;1500
270000;1;1;2;34;-1;-1;0;-1;-1;-1;5780;12006;15736;6621;2457;14923;12006;5736;6621;2457;14923;1712
90000;2;1;2;24;0;0;0;0;0;0;13141;14526;15482;18219;22737;23387;1600;1500;3000;5000;1020;764
130000;2;2;2;29;0;0;0;0;0;0;131575;130931;132969;45584;46516;47455;6700;6000;1291;1319;1336;1365
210000;2;3;2;31;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0
100000;1;3;2;49;-1;-1;-2;-2;-2;-2;1440;0;0;0;0;0;0;0;0;0;0;0
50000;2;2;2;23;0;0;0;0;0;2;26795;28056;29284;30487;33831;33138;2000;2000;2000;4000;0;2000
50000;1;2;1;41;0;0;0;0;0;0;21986;21520;20979;19894;18811;18805;1362;1294;682;680;694;618
10000;1;2;2;33;0;0;0;0;0;0;8177;9131;9669;7624;8049;6857;2500;1145;1000;1000;1000;1500
160000;2;1;1;33;-2;-2;-2;-2;-2;-2;14150;8106;12431;12145;13391;7957;8106;12431;12145;13391;7957;1905
140000;2;1;2;37;-1;-1;-1;-2;-2;-1;1034;40000;0;0;0;510;40000;0;0;0;510;0
100000;2;1;2;28;2;0;0;0;0;0;96193;82342;81967;82177;78840;79261;3600;3800;3000;3000;3023;3000
170000;2;2;2;27;0;0;0;0;0;0;162671;166202;161973;167201;161327;171863;7500;6000;10000;7000;16000;6200
150000;1;2;2;35;0;0;0;-1;-1;-1;60015;72227;51364;54340;0;2129;20000;30000;54340;0;2129;0
90000;2;2;2;34;-1;2;2;-2;-2;-2;8792;7500;0;0;0;0;0;0;0;0;0;0
30000;2;2;2;22;0;0;2;0;0;0;23892;28459;25499;25778;28708;30520;5300;0;1000;3352;2300;0
60000;1;1;2;29;-1;2;-1;-1;2;2;546;255;464;1173;732;1023;0;500;1000;0;582;0
140000;2;2;2;24;-1;-1;-2;-1;-1;-2;197;0;0;233;0;0;0;0;233;0;0;0
20000;1;2;1;33;0;0;0;0;0;0;11026;9535;10510;10472;10140;10101;1174;1149;501;356;507;458
370000;2;1;2;38;-1;-1;-1;-1;-1;-1;929;328;0;1539;1815;0;328;0;1539;1815;0;0
230000;2;1;2;29;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0
280000;2;2;1;39;0;0;2;0;0;0;213738;228963;223810;158542;162244;108143;20300;0;5600;6300;4000;4000
30000;2;3;2;53;-1;-1;-1;-1;-1;-1;1598;2487;0;4810;2796;3245;2487;0;4810;2796;3245;7305
420000;1;2;1;34;0;0;0;0;0;0;88948;79783;80575;92982;98502;103200;30000;10575;15000;10000;10000;20000
500000;1;1;1;43;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0
310000;1;1;2;30;-2;-2;-2;-2;-2;-2;1544;1648;1284;1088;892;-304;1300;1000;1000;1000;304;39544
170000;2;1;2;28;2;2;2;2;2;2;131864;133897;129761;138604;136283;145012;5600;0;11000;0;11000;5656
200000;2;2;1;32;-1;-1;-1;-1;-1;-1;5150;10190;10190;10190;10594;11193;10190;10190;10190;10594;11193;10190
50000;2;2;2;23;-2;-2;-2;-2;-2;-2;3779;3944;2118;2259;3527;1100;3955;2124;2266;3638;1303;0
30000;1;1;1;27;-1;0;0;0;0;-2;12897;13484;6655;6618;0;0;2011;2211;2101;148;0;0
