,Time A,Time B,vitoria,empate,derrota
0,América FC MG ,Fluminense FC RJ ,2.710,3.480,2.650
1,Palmeiras ,Cuiabá Esporte Clube MT ,1.287,5.910,10.880
2,Bragantino ,Bahia ,2.070,3.410,3.860
3,Botafogo FR RJ ,São Paulo FC SP ,2.700,3.160,2.890
4,CA Paranaense PR ,Goiás ,1.675,3.710,5.850
5,Fortaleza EC CE ,SC Internacional RS ,2.260,3.270,3.490
6,Atlético Mineiro ,Vasco da Gama ,1.555,4.460,5.850
7,Corinthians ,Cruzeiro ,1.719,3.880,5.050
8,Flamengo ,Coritiba ,1.314,5.900,9.250
9,Gremio ,Santos ,1.581,4.310,5.750
