year,name,playerId,playerSlug,positionId,teamId,status,gamesPlayed,avgMinutes,avgFouls,flagrantFouls,technicalFouls,ejections,doubleDouble,tripleDouble,minutes,rebounds,fouls,avgRebounds,avgPoints,avgFieldGoalsMade,avgFieldGoalsAttempted,fieldGoalPct,avgThreePointFieldGoalsMade,avgThreePointFieldGoalsAttempted,threePointFieldGoalPct,avgFreeThrowsMade,avgFreeThrowsAttempted,freeThrowPct,avgAssists,avgTurnovers,points,fieldGoalsMade,fieldGoalsAttempted,threePointFieldGoalsMade,threePointFieldGoalsAttempted,freeThrowsMade,freeThrowsAttempted,assists,turnovers,avgSteals,avgBlocks,steals,blocks,position,birthdate,college,draftinfo,birthplace,team,experience,rankingSalary,salary,weight,height
1999,Allen Iverson,366,allen-iverson,SG,PHI,inactive,48.0,41.458332,2.0416667,0.0,5.0,0.0,4.0,0.0,1990.0,236.0,98.0,4.9166665,26.75,9.0625,22.0,41.19300079345703,1.2083334,4.1458335,29.145729541778564,7.4166665,9.875,75.1050033569336,4.6458335,3.4791667,1284.0,435.0,1056.0,58.0,199.0,356.0,474.0,223.0,167.0,2.2916667,0.14583333,110.0,7.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,15,"$9,000,000",,
2000,Allen Iverson,366,allen-iverson,SG,PHI,inactive,70.0,40.75714,2.3142858,0.0,12.0,0.0,1.0,0.0,2853.0,267.0,162.0,3.8142858,28.414286,10.414286,24.757143,42.06600189208984,1.2714286,3.7285714,34.09961760044098,6.3142858,8.857142,71.29000091552734,4.6857142,3.2857144,1989.0,729.0,1733.0,89.0,261.0,442.0,620.0,328.0,230.0,2.057143,0.071428575,144.0,5.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,27,"$10,125,000",,
2001,Allen Iverson,366,allen-iverson,SG,PHI,inactive,71.0,41.957745,2.0704226,0.0,18.0,0.0,4.0,0.0,2979.0,273.0,147.0,3.8450704,31.084507,10.732394,25.535212,42.02999877929688,1.3802817,4.3098593,32.02614486217499,8.239436,10.1267605,81.36299896240234,4.5774646,3.3380282,2207.0,762.0,1813.0,98.0,306.0,585.0,719.0,325.0,237.0,2.5070422,0.28169015,178.0,20.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,17,"$11,250,000",,
2002,Allen Iverson,366,allen-iverson,SG,PHI,inactive,60.0,43.7,1.7,0.0,12.0,1.0,4.0,1.0,2622.0,269.0,102.0,4.483333,31.383333,11.083333,27.816668,39.84400177001953,1.3,4.4666667,29.10447716712952,7.9166665,9.75,81.1969985961914,5.516667,3.95,1883.0,665.0,1669.0,78.0,268.0,475.0,585.0,331.0,237.0,2.8,0.21666667,168.0,13.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,14,"$12,375,000",,
2003,Allen Iverson,366,allen-iverson,SG,PHI,inactive,82.0,42.5,1.8170732,0.0,8.0,0.0,6.0,0.0,3485.0,344.0,149.0,4.195122,27.585365,9.804878,23.658537,41.44300079345703,1.0243902,3.695122,27.72277295589447,6.9512196,8.97561,77.44599914550781,5.5365853,3.487805,2262.0,804.0,1940.0,84.0,303.0,570.0,736.0,454.0,286.0,2.7439024,0.15853658,225.0,13.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,11,"$13,500,000",,
2004,Allen Iverson,366,allen-iverson,SG,PHI,inactive,48.0,42.5,1.8125,0.0,7.0,0.0,8.0,0.0,2040.0,178.0,87.0,3.7083333,26.375,9.0625,23.4375,38.66699981689453,1.1875,4.1458335,28.6432147026062,7.0625,9.479167,74.50499725341797,6.75,4.3541665,1266.0,435.0,1125.0,57.0,199.0,339.0,455.0,324.0,209.0,2.3958333,0.104166664,115.0,5.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,8,"$14,625,000",,
2005,Allen Iverson,366,allen-iverson,SG,PHI,inactive,75.0,42.32,1.8666667,0.0,10.0,0.0,24.0,0.0,3174.0,299.0,140.0,3.9866667,30.693333,10.28,24.24,42.40900039672852,1.3866667,4.5066667,30.76923191547393,8.746667,10.48,83.46099853515625,7.9466667,4.5866666,2302.0,771.0,1818.0,104.0,338.0,656.0,786.0,596.0,344.0,2.4,0.12,180.0,9.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,4,"$16,453,125",,
2006,Allen Iverson,366,allen-iverson,SG,PHI,inactive,72.0,43.09722,1.6805556,0.0,13.0,0.0,18.0,0.0,3103.0,232.0,121.0,3.2222223,33.01389,11.319445,25.305555,44.73099899291992,1.0,3.0972223,32.28699564933777,9.375,11.513889,81.4229965209961,7.388889,3.4444444,2377.0,815.0,1822.0,72.0,223.0,675.0,829.0,532.0,248.0,1.9444444,0.1388889,140.0,10.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,7,"$17,184,375",,
2007,Allen Iverson,366,allen-iverson,SG,DEN,inactive,65.0,42.476925,1.4615384,0.0,12.0,1.0,17.0,0.0,2761.0,193.0,95.0,2.9692307,26.292307,8.938461,20.2,44.25,0.95384616,3.0307693,31.472080945968628,7.4615383,9.384615,79.50800323486328,7.2,4.123077,1709.0,581.0,1313.0,62.0,197.0,485.0,610.0,468.0,268.0,1.8923076,0.2,123.0,13.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,7,"$19,012,500",,
2008,Allen Iverson,366,allen-iverson,SG,DEN,inactive,82.0,41.756096,1.3292683,0.0,5.0,1.0,15.0,0.0,3424.0,243.0,109.0,2.9634147,26.390244,8.682927,18.975609,45.757999420166016,1.1585366,3.3536584,34.54545438289642,7.865854,9.719512,80.9280014038086,7.1463413,2.987805,2164.0,712.0,1556.0,95.0,275.0,645.0,797.0,586.0,245.0,1.9512196,0.14634146,160.0,12.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,6,"$20,840,625",,
2009,Allen Iverson,366,allen-iverson,SG,DET,inactive,57.0,36.7193,1.5087719,0.0,5.0,0.0,2.0,0.0,2093.0,173.0,86.0,3.0350878,17.45614,6.105263,14.631579,41.72700119018555,0.49122807,1.7368422,28.28282713890076,4.754386,6.0877194,78.0979995727539,4.9649124,2.5614035,995.0,348.0,834.0,28.0,99.0,271.0,347.0,283.0,146.0,1.5438596,0.10526316,88.0,6.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,429,"$650,686",,
2010,Allen Iverson,366,allen-iverson,SG,PHI,inactive,28.0,30.892857,1.7142857,0.0,1.0,0.0,0.0,0.0,865.0,79.0,48.0,2.8214285,13.75,4.857143,11.285714,43.03799819946289,0.32142857,0.89285713,36.000001430511475,3.7142856,4.678571,79.38899993896484,4.035714,2.2857144,385.0,136.0,316.0,9.0,25.0,104.0,131.0,113.0,64.0,0.6785714,0.071428575,19.0,2.0,Shooting Guard,6/7/1975,Georgetown,"1996: Rd 1, Pk 1 (PHI)","Hampton, VA",,,466,"$650,686",,
1999,Jason Kidd,429,jason-kidd,PG,PHX,inactive,50.0,41.2,2.16,0.0,0.0,0.0,30.0,7.0,2060.0,339.0,108.0,6.78,16.92,6.2,13.96,44.41299819946289,0.9,2.46,36.58536672592163,3.62,4.78,75.73200225830078,10.78,3.0,846.0,310.0,698.0,45.0,123.0,181.0,239.0,539.0,150.0,2.28,0.38,114.0,19.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,34,"$6,858,000",,
2000,Jason Kidd,429,jason-kidd,PG,PHX,inactive,67.0,39.044777,2.2089553,0.0,1.0,0.0,36.0,5.0,2616.0,483.0,148.0,7.2089553,14.313433,5.223881,12.761194,40.93600082397461,0.8358209,2.477612,33.73493850231171,3.0298507,3.6567163,82.85700225830078,10.119403,3.3731344,959.0,350.0,855.0,56.0,166.0,203.0,245.0,678.0,226.0,2.0,0.41791046,134.0,28.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,55,"$7,630,000",,
2001,Jason Kidd,429,jason-kidd,PG,PHX,inactive,77.0,39.805195,2.2207792,0.0,2.0,0.0,33.0,7.0,3065.0,494.0,171.0,6.4155846,16.87013,5.857143,14.246754,41.11199951171875,0.8961039,3.012987,29.741379618644714,4.2597404,5.233766,81.38999938964844,9.779221,3.7142856,1299.0,451.0,1097.0,69.0,232.0,328.0,403.0,753.0,286.0,2.1558442,0.2987013,166.0,23.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,46,"$8,440,000",,
2002,Jason Kidd,429,jason-kidd,PG,NJ,inactive,82.0,37.26829,1.6585366,0.0,2.0,0.0,44.0,8.0,3056.0,595.0,136.0,7.256098,14.731708,5.4268293,13.878049,39.104000091552734,1.4268292,4.4390244,32.14285671710968,2.4512196,3.012195,81.37699890136719,9.853659,3.487805,1208.0,445.0,1138.0,117.0,364.0,201.0,247.0,808.0,286.0,2.1341465,0.24390244,175.0,20.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,43,"$9,260,000",,
2003,Jason Kidd,429,jason-kidd,PG,NJ,inactive,80.0,37.3625,1.5875,0.0,4.0,1.0,31.0,4.0,2989.0,504.0,127.0,6.3,18.6875,6.4375,15.55,41.39899826049805,1.575,4.625,34.05405282974243,4.2375,5.0375,84.11900329589844,8.8875,3.7,1495.0,515.0,1244.0,126.0,370.0,339.0,403.0,711.0,296.0,2.2375,0.3125,179.0,25.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,31,"$10,950,000",,
2005,Jason Kidd,429,jason-kidd,PG,NJ,inactive,66.0,36.89394,1.6666666,0.0,2.0,0.0,26.0,8.0,2435.0,488.0,110.0,7.3939395,14.409091,5.151515,12.954545,39.76599884033203,1.9545455,5.4242425,36.03352010250092,2.1515152,2.909091,73.95800018310547,8.257576,2.530303,951.0,340.0,855.0,129.0,358.0,142.0,192.0,545.0,167.0,1.8636364,0.13636364,123.0,9.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,6,"$16,440,000",,
2006,Jason Kidd,429,jason-kidd,PG,NJ,inactive,80.0,37.1875,1.9625,0.0,2.0,0.0,28.0,8.0,2975.0,580.0,157.0,7.25,13.3125,4.575,11.3125,40.44200134277344,1.7375,4.9375,35.1898729801178,2.425,3.05,79.50800323486328,8.4,2.4,1065.0,366.0,905.0,139.0,395.0,194.0,244.0,672.0,192.0,1.875,0.3625,150.0,29.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,3,"$18,084,000",,
2007,Jason Kidd,429,jason-kidd,PG,NJ,inactive,80.0,36.6625,1.825,0.0,3.0,1.0,32.0,12.0,2933.0,655.0,146.0,8.1875,13.0125,4.6125,11.35,40.63899993896485,1.55,4.5125,34.34903025627136,2.2375,2.875,77.82599639892578,9.2,2.6625,1041.0,369.0,908.0,124.0,361.0,179.0,230.0,736.0,213.0,1.5875,0.2875,127.0,23.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,3,"$19,728,000",,
2008,Jason Kidd,429,jason-kidd,PG,DAL,inactive,80.0,36.325,2.0625,0.0,0.0,0.0,35.0,13.0,2906.0,600.0,165.0,7.5,10.8,3.8125,9.9125,38.46200180053711,1.4875,3.9,38.141027092933655,1.6875,2.0625,81.81800079345703,10.075,3.325,864.0,305.0,793.0,119.0,312.0,135.0,165.0,806.0,266.0,1.7,0.325,136.0,26.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,2,"$21,372,000",,
2009,Jason Kidd,429,jason-kidd,PG,DAL,inactive,81.0,35.62963,2.074074,1.0,1.0,0.0,19.0,3.0,2886.0,500.0,168.0,6.1728396,9.024692,3.1728394,7.6296296,41.58599853515625,1.6172839,3.9876542,40.55727422237396,1.0617284,1.2962962,81.90499877929688,8.666667,2.2839506,731.0,257.0,618.0,131.0,323.0,86.0,105.0,702.0,185.0,1.9753087,0.4814815,160.0,39.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,84,"$8,100,000",,
2010,Jason Kidd,429,jason-kidd,PG,DAL,inactive,80.0,36.0125,1.775,0.0,2.0,0.0,26.0,2.0,2881.0,445.0,142.0,5.5625,10.3,3.55,8.3875,42.32500076293945,2.2,5.175,42.51207709312439,1.0,1.2375,80.80799865722656,9.05,2.4375,824.0,284.0,671.0,176.0,414.0,80.0,99.0,724.0,195.0,1.8125,0.4375,145.0,35.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,74,"$8,610,500",,
2011,Jason Kidd,429,jason-kidd,PG,DAL,inactive,80.0,33.1625,1.4875,0.0,1.0,0.0,9.0,2.0,2653.0,351.0,119.0,4.3875,7.875,2.6875,7.45,36.07400131225586,1.6625,4.8875,34.01534557342529,0.8375,0.9625,87.01300048828125,8.1875,2.2375,630.0,215.0,596.0,133.0,391.0,67.0,77.0,655.0,179.0,1.675,0.3625,134.0,29.0,Point Guard,3/23/1973,California,"1994: Rd 1, Pk 2 (DAL)","San Francisco, CA",,,53,"$10,121,000",,
2000,Michael Finley,242,michael-finley,SG,DAL,inactive,82.0,42.243904,2.0853658,0.0,1.0,0.0,18.0,4.0,3464.0,518.0,171.0,6.3170733,22.621952,9.121951,19.95122,45.72100067138672,1.2073171,3.012195,40.08097052574158,3.1707318,3.8658535,82.01899719238281,5.3414636,2.390244,1855.0,748.0,1636.0,99.0,247.0,260.0,317.0,438.0,196.0,1.3292683,0.3902439,109.0,32.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,44,"$8,400,000",,
2001,Michael Finley,242,michael-finley,SG,DAL,inactive,82.0,41.987804,2.121951,1.0,4.0,0.0,9.0,1.0,3443.0,425.0,174.0,5.1829267,21.524391,8.670732,18.926828,45.8120002746582,1.1097561,3.207317,34.60076153278351,3.0731707,3.9634147,77.53800201416016,4.390244,2.317073,1765.0,711.0,1552.0,91.0,263.0,252.0,325.0,360.0,190.0,1.4390244,0.3902439,118.0,32.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,31,"$10,625,000",,
