,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
0,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","Estamos com processo seletivo para a cidade de São Paulo - SP.

Inscrições até o dia 02/05/2023*****

(Permitida apenas 01 inscrição por candidato)

Cargo: CIENTISTA DE DADOS

Salário: R$ 11.037,73 - 40h semanais

Tipo de Contratação: CLT - Prazos Determinado ou Indeterminado*

Horário: De Segunda a sexta-feira das 08h às 17h

Local: Av. Paulista, 1313 - São Paulo - SP

Modalidade de Trabalho: Presencial

A ser definido no momento da admissão

Requisitos

Ensino Superior em Estatística, Matemática, Física, Economia, Engenharia, Ciências da Computação e áreas correlatas.

Experiência como Estatístico, Analista de Dados, Business Analyst, Cientista de Dados ou Engenharia de Dados.

DESEJÁVEL: Experiência com extração e manipulação de base de dados públicas (PNAD, CAGED, RAIS, Censo Demográfico, Censo Escolar e etc.);

Conhecimentos de métodos de predição com séries temporais;

Etapas Do Processo Seletivo

Teste Online / Perguntas Eliminatórias;
Análise Curricular;
Vídeo Avaliativo;
Avaliação Técnica por Comitê Examinador;
Comprovação de Requisitos - Análise documental.

Sujeito a alterações conforme a necessidade - Todas as etapas são eliminatórias e classificatórias

Conhecimentos / Habilidades

Programação em Python, R e SQL.

Capacidade de comunicar os resultados com eficiência para as áreas de negócio.

Conhecimento em processamento de dados, modelagem estatística e arquitetura de dados.

Conhecimento de conceitos estatísticos necessários para implementar. Soluções de inteligência artificial, machine learning, análise exploratória, data mining, técnicas de regressão, modelos probabilísticos (árvore de decisão, random forest, entre outros) e clustering.

Elaboração de relatórios dinâmicos.

Conhecimento de Ambientes de Computação em Nuvem. Capacidade de comunicação oral e escrita.

Conhecimento em extração, processamento e visualização de dados. Conhecimentos de tecnologias de Big Data (Databricks, Hadoop, Spark entre outros).

Atividades

Identificar necessidades das áreas de negócio e contribuir para o atingimento dos objetivos estratégicos da instituição que podem ser endereçados a partir de análise de dados.

Organizar bases de dados e informações externas e internas à organização para a estruturação de produtos de apoio à tomada de decisão.

Coletar, processar e analisar grande volume de dados estruturados e não- estruturados disponíveis em banco de dados consolidado da empresa e/ou em fontes externas à organização a partir de softwares estatísticos.

Aplicar métodos estatísticos e matemáticos para realizar análises preditivas, prescritivas, descritivas e diagnósticas, conforme necessidade apontada pela área de negócios.

Construir relatórios e dashboards de visualização de dados, dinâmicos e estáticos, reportando aos diversos stakeholders, sob a perspectiva de experiência do usuário, os principais resultados de análises realizadas. Construir, testar, validar e reformular modelos de análise de dados a partir de métricas de performance estatísticas, a fim de garantir acurácia dos resultados obtidos.

Propor design de instrumentos de pesquisa para a coleta de dados primários, bem como a elaboração de planos de amostragem, quando necessários.

Atenção

As etapas poderão ser realizadas em formato presencial ou online e podem ser agendadas com até 24h antes da realização.

Toda comunicação com os candidatos para participação nas etapas será realizada EXCLUSIVAMENTE por E-MAIL, e podem ocorrer em qualquer dia, inclusive sábados, domingos e feriados. Por isso, pedimos que mantenham seus dados atualizados na plataforma. Após a inscrição na vaga, o candidato deverá ficar atento as mensagens recebidas, inclusive verificar a lixeira ou caixa de spam, pois as etapas não serão remarcadas. Todos os inscritos no processo seletivo receberão o feedback positivo ou negativo, durante ou após o término da seleção.

O acesso à internet e o equipamento para realização da entrevista, caso ocorra de forma online, bem como o acompanhamento das datas de realização das etapas enviadas por e-mail é de responsabilidade do candidato. Havendo falhas no sistema, no equipamento ou a não visualização do e-mail com o agendamento da etapa por parte do candidato, não haverá possibilidade de nova data para a realização.

É permitida somente uma única inscrição por candidato. Se identificada, a qualquer momento, duplicidade de inscrição, caberá a exclusão do processo seletivo. Havendo alguma intercorrência, falha, necessidade de alteração nos dados de contato/currículo ou não recebimento da confirmação por e-mail no momento da inscrição, deverá ser acionado o suporte da plataforma.

Diversidade & Inclusão

Entendemos que equipes com diversidade trazem melhores resultados na entrega, no clima organizacional e na representatividade de nossos clientes internos e externos. Venha enriquecer o nosso ambiente de trabalho!!

Quer saber mais ? Acesse os links abaixo:

INFORMAÇÕES GERAIS

FAQ",Não aplicável,Tempo integral,Outro,Programas de administração educacional,https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
1,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","
        Estamos com processo seletivo para a cidade de São Paulo - SP.Inscrições até o dia 02/05/2023*****(Permitida apenas 01 inscrição por candidato)Cargo: CIENTISTA DE DADOSSalário: R$ 11.037,73 - 40h semanaisTipo de Contratação: CLT - Prazos Determinado ou Indeterminado*Horário: De Segunda a sexta-feira das 08h às 17hLocal: Av. Paulista, 1313 - São Paulo - SPModalidade de Trabalho: PresencialA ser definido no momento da admissãoRequisitosEnsino Superior em Estatística, Matemática, Física, Economia, Engenharia, Ciências da Computação e áreas correlatas.Experiência como Estatístico, Analista de Dados, Business Analyst, Cientista de Dados ou Engenharia de Dados.DESEJÁVEL: Experiência com extração e manipulação de base de dados públicas (PNAD, CAGED, RAIS, Censo Demográfico, Censo Escolar e etc.);Conhecimentos de métodos de predição com séries temporais;Etapas Do Processo Seletivo Teste Online / Perguntas Eliminatórias; Análise Curricular; Vídeo Avaliativo; Avaliação Técnica por Comitê Examinador; Comprovação de Requisitos - Análise documental.Sujeito a alterações conforme a necessidade - Todas as etapas são eliminatórias e classificatóriasConhecimentos / HabilidadesProgramação em Python, R e SQL.Capacidade de comunicar os resultados com eficiência para as áreas de negócio.Conhecimento em processamento de dados, modelagem estatística e arquitetura de dados.Conhecimento de conceitos estatísticos necessários para implementar. Soluções de inteligência artificial, machine learning, análise exploratória, data mining, técnicas de regressão, modelos probabilísticos (árvore de decisão, random forest, entre outros) e clustering.Elaboração de relatórios dinâmicos.Conhecimento de Ambientes de Computação em Nuvem. Capacidade de comunicação oral e escrita.Conhecimento em extração, processamento e visualização de dados. Conhecimentos de tecnologias de Big Data (Databricks, Hadoop, Spark entre outros).AtividadesIdentificar necessidades das áreas de negócio e contribuir para o atingimento dos objetivos estratégicos da instituição que podem ser endereçados a partir de análise de dados.Organizar bases de dados e informações externas e internas à organização para a estruturação de produtos de apoio à tomada de decisão.Coletar, processar e analisar grande volume de dados estruturados e não- estruturados disponíveis em banco de dados consolidado da empresa e/ou em fontes externas à organização a partir de softwares estatísticos.Aplicar métodos estatísticos e matemáticos para realizar análises preditivas, prescritivas, descritivas e diagnósticas, conforme necessidade apontada pela área de negócios.Construir relatórios e dashboards de visualização de dados, dinâmicos e estáticos, reportando aos diversos stakeholders, sob a perspectiva de experiência do usuário, os principais resultados de análises realizadas. Construir, testar, validar e reformular modelos de análise de dados a partir de métricas de performance estatísticas, a fim de garantir acurácia dos resultados obtidos.Propor design de instrumentos de pesquisa para a coleta de dados primários, bem como a elaboração de planos de amostragem, quando necessários.AtençãoAs etapas poderão ser realizadas em formato presencial ou online e podem ser agendadas com até 24h antes da realização.Toda comunicação com os candidatos para participação nas etapas será realizada EXCLUSIVAMENTE por E-MAIL, e podem ocorrer em qualquer dia, inclusive sábados, domingos e feriados. Por isso, pedimos que mantenham seus dados atualizados na plataforma. Após a inscrição na vaga, o candidato deverá ficar atento as mensagens recebidas, inclusive verificar a lixeira ou caixa de spam, pois as etapas não serão remarcadas. Todos os inscritos no processo seletivo receberão o feedback positivo ou negativo, durante ou após o término da seleção.O acesso à internet e o equipamento para realização da entrevista, caso ocorra de forma online, bem como o acompanhamento das datas de realização das etapas enviadas por e-mail é de responsabilidade do candidato. Havendo falhas no sistema, no equipamento ou a não visualização do e-mail com o agendamento da etapa por parte do candidato, não haverá possibilidade de nova data para a realização.É permitida somente uma única inscrição por candidato. Se identificada, a qualquer momento, duplicidade de inscrição, caberá a exclusão do processo seletivo. Havendo alguma intercorrência, falha, necessidade de alteração nos dados de contato/currículo ou não recebimento da confirmação por e-mail no momento da inscrição, deverá ser acionado o suporte da plataforma.Diversidade & InclusãoEntendemos que equipes com diversidade trazem melhores resultados na entrega, no clima organizacional e na representatividade de nossos clientes internos e externos. Venha enriquecer o nosso ambiente de trabalho!!Quer saber mais ? Acesse os links abaixo:INFORMAÇÕES GERAISFAQ
      ","
            Não aplicável
          ","
          Tempo integral
        ","
            Outro
          ","
          Programas de administração educacional
          ",https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","Já imaginou ser um Porto Seguro para mais de 10 milhões de clientes?

Aqui na Porto Seguro, oferecemos uma experiência excelente para todas as pessoas, mantendo sempre o cuidado em nossas relações e buscando a

transformação em todos os nossos caminhos: sejam no negócio, no dia-dia, nas pessoas ou em nossas carreiras.

O time é grande, são 13 mil funcionários,16 mil prestadores e 35 mil corretores parceiros.

Mas grande também, é o nosso cuidado com o impacto que geramos na sociedade, por isso temos muito orgulho de nossos projetos socioambientais,

como o Porto Voluntário (ajudando mais de 144 ONGs no Brasil) e o Instituto Porto Seguro.

Além disso, somos formados por 28 empresas que atuam nos mais diversos ramos como seguros, produtos financeiros, serviços de emergência e

conveniência, monitoramento, plano de saúde para Pets, entre outros.

Sim, vamos muito além do seguro!

Venha fazer parte de tudo isso em um ambiente que preza pela valorização e o cuidado com as pessoas, venha trilhar sua carreira aqui na Porto Seguro!




O que é a área de Preços Saúde na Porto?

A Gerência Preços e Gestão Analítica da Vertical Saúde, ligada à Diretoria de Produtos, é responsável pelo desenvolvimento e manutenção dos modelos de risco e de elasticidade que compõem o processo de precificação, renovação, gestão analítica e de portfólio, no intuito de contribuir na estratégia de preços e subscrição dos produtos Saúde, Odontológico e Ocupacional







Seus principais desafios serão:

Pesquisar técnicas e metodologias para construir modelos preditivos utilizando técnicas de aprendizado de máquina que geram insights para solucionar problemas de negócio.

Elaborar a scoragem dos modelos de risco já implantados e a partir dessa informação gerar insumos para tomada de decisão para atualização dos modelos.

Realizar modelos de otimização de preços em parceria com as áreas de inteligência analítica.







O que você precisa para fazer parte deste time:

superior completa (desejável: Ciências Atuarias, Estatística, Administração, Engenharia, Economia ou cursos correlatos);

de Modelagem Estatística e conhecimento em outras técnicas (ML e IA);

em SAS (avançado), Python ou R (intermediário);

de negócio e visão sistêmica das transversalidades.







Um pouco sobre nós:

Nos modelos de trabalho presencial e híbrido, adotamos o “Vem como se sente bem"" pra você ser você mesmo e se vestir como se sente bem.

A Porto possui um Programa de Diversidade e Inclusão (Juntos). Queremos continuar construindo um espaço seguro e livre para ser quem somos. Valorizamos a diferença e incentivamos a aplicação de pessoas com perfis diversos. Venha fazer parte!







O nosso jeito Porto Seguro de agir para fazer a diferença na vida das pessoas.

Nossa forma de agir é o nosso principal diferencial, por isso, para fazer parte do time procuramos pessoas com:

Visão integrada - Ser curioso para buscar e compartilhar conhecimentos e informações.

Desprendimento - Estar aberto à mudanças, ao novo e ao desconhecido, se adaptando às diferentes adversidades e encontrando novas formas de fazer acontecer.

Criatividade - Buscar continuamente novas soluções e alternativas para processos, serviços, produtos e clientes.

Coragem - Manter atitudes pró ativas no ambiente de trabalho, ser responsável por suas ações e protagonista do seu desenvolvimento.

Capacidade de Entrega - Compreender o objetivo a ser alcançado, planejar e executar as tarefas com qualidade e pontualidade.

Parceria - Ser colaborativo, promover feedbacks constantes, contribuir para o desenvolvimento e aprendizado individual e coletivo.







Nossos benefícios e local de trabalho:

Pai, mãe e filhos: Auxílio creche ou babá, para o seu bem mais precioso ser muito bem cuidado!

Vale Alimentação e Refeição: Seu VR e VA são Flex, para que você atenda sua necessidade

Vale-Transporte: Para nos encontrarmos na Companhia.

Plano Odontológico: Pra você dar aquele sorrisão bonito.

Plano de Saúde: É importante se cuidar e estar bem.

Seguro de Vida: Pra cuidarmos do nosso bem maior: nossos PortoLovers.

Participação nos Lucros: Pois você é a peça chave do nosso sucesso.

Previdência Privada: Para garantir um futuro tranquilo para você!

Desconto em Produtos e Serviços: Porque nossos PortoLovers também merecem ter os melhores serviços do mercado!

Bolsa de estudos

Cursos de Idiomas

Gympass

Local de trabalho: Campos Elísios

Modelo de Trabalho: Híbrido",Pleno-sênior,Tempo integral,Desenvolvimento de negócios e Estratégia/Planejamento,Seguros e Serviços financeiros,https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","OBJETIVO DO CARGO

Irá atuar na célula de Data Science utilizando nossa metodologia para construção e entrega das demandas dos diferentes projetos da Just.

O profissional irá atuar realizando diferentes tipos de análises, tanto descritivas, quanto preditivas, observando e identificando padrões a partir de métodos supervisionados e não supervisionados para diversos tipos diferentes de empresas, como a área de CRM, Siderúrgicas, E-Commerce, entre outras.

Como Jr você terá a oportunidade de ampliar seus conhecimentos em projetos distintos e desenvolver suas habilidades em diferentes técnicas da área com o suporte do time.

Responsabilidades e atribuições

Como membro da equipe, o candidato irá se utilizar da linguagem python e da nossa biblioteca para construção de modelos estatísticos e análise exploratória de dados e de negócios para entregar estudos/produtos.
Analisar e trazer consistência nos aspectos matemáticos e computacionais, terá suporte de um líder técnico para possíveis refinamentos e seu desenvolvimento profissional.
Documentar a metodologia adotada de forma a apresentá-la aos stakeholders e poder defendê-la, inclusive elencando possíveis limitações presentes no método ou dados fornecidos.
Trabalhar em estreita colaboração com nossos clientes para entender suas necessidades, seu feedback para melhorar nossas soluções.


Requisitos e qualificações

Bons conhecimento Linguagem Python
Boas práticas de Modularização de código
Storytelling - (para formulação de estratégias)
Conhecimento e uso de pacotes para exploração de dados (Ex: Pandas) - realizar operações, estruturação de tabelas, agrupamentos.
Conhecimento e uso de diferentes técnicas de análise estatística, (Ex: distribuição, teste de hipótese, cálculo de significância, análise de resultado de modelo)
Conhecimento e uso de diferentes técnicas de machine learning - (Ex: clusterização, regressão e classificação)
Experiência com visualização de dados - 6 meses a 1 ano.
Conhecimento básico de SQL
Experiência comprovada na profissão - (mesmo como estágio)
Conhecimento de como trabalhar com dados temporais
Entendimento conceitual por trás dos princípios matemáticos de diferentes algoritmos de machine learning.
Habilidade de justificar a metodologia adotada seguindo a metodologia científica.
Identificar algumas limitações sobre o que foi entregue, e como a análise pode ser aprofundada para atender essas limitações.",Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Atendimento ao consumidor,https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","No AC Camargo Cancer Center ser Cientista de Dados III é ser especializado (a) em vida e tem como responsabilidade automatização de processos de Machine Learning, aprimorando continuamente modelos de ciências de dados. Geração de inteligência de mercado com foco em AI, entregando a informação certa para a pessoa certa em tempo. Criação de produtos de dados.

Os Principais Desafios Desta Posição São

Ser responsável pela automatização de processos, aprimorando continuamente modelos de ciências de dados;
Criar produtos para a gestão de dados e apresentação de soluções para problemas corporativos, dar suporte para a tomada de decisão;
Usar a ciência de dados para apoiar as estratégias da instituição, produzir ideias disruptivas e alavancar a transformação digital e inovação;
Pesquisar e identificar novas tecnologias, identificando fornecedores, solicitando demonstrações de produto e avaliando sua funcionalidade;
Ser responsável por suportar a segurança, privacidade e velocidade no emprego de inteligência analítica de dados;
Trabalhar com coleta, análise e interpretação de dados, considerando volume, variações e velocidade;
Conhecer os aspectos e impactos ambientais significativos, perigos e riscos não aceitáveis da sua área;
Atuar na mitigação dos acidentes ambientais e de saúde e segurança;
Atuar conforme política de segurança institucional do paciente.

Para ocupar essa posição, os principais requisitos são:

Ser autodidata, estar disposto (a) a trabalhar em equipe, ter facilidade para consolidar informações e ter boa comunicação;
Ser resolutivo (a), visão analítica e estratégica, dinâmico (a), proativo (a), senso de urgência além do bom relacionamento interpessoal serão características importantíssimas para atuar na área;
Ensino Superior completo em Engenharia, Tecnologia da Informação, Análise de Sistemas, Ciência da Computação;
Desejável Pós Graduação em áreas correlatas;
Necessário conhecimento em gestão de dados (BI) Estatística, Programação e Negócios.

Seu horário será das 08h às 18h de segunda a quinta- feira e das 08h às 17h às sextas-feiras.

Se você se identifica com os desafios desta posição e gostaria de contribuir com nosso propósito, realize a sua candidatura! Todas as nossas vagas estão abertas para contratação de pessoas com deficiência. Se você é um profissional com deficiência e possui alguma necessidade específica, por favor, nos conte para melhor lhe atendermos.

Boa sorte no processo!",Assistente,Tempo integral,Engenharia e Tecnologia da informação,Hospitais e atendimento à saúde,https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","Como Cientista de Dados na Montreal, você fará parte de uma das melhores empresas de tecnologia do Brasil. Nossa trajetória iniciou há mais de trinta anos com uma pequena equipe de engenharia apaixonada por inovação. Em 1986, pessoas visionárias fizeram um compromisso com a tecnologia e sua capacidade de transformar o mundo. Aquele, seria apenas o começo de uma trajetória que nos tornou referência sólida no mercado e uma das melhores empresas para se trabalhar.

Responsabilidades e atribuições

Conhecimento e experiência em ETL;
Scripting;
Capacidade de documentação de soluções;
Elaboração de dicionário de dados e de indicadores.


Requisitos e qualificações

Conhecimentos em Databricks;
Experiência em Phyton;
Experiência com banco SQL Server Azure;
Modelagem de dados;
Cloud.


Informações adicionais

Benefícios e Vantagens:

Plano de Saúde;
Plano Odontológico;
Seguro de Vida;
Vale-transporte;
Vale-refeição.


Informações adicionais:

Home office",Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Serviços e consultoria de TI,https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","
        Como Cientista de Dados na Montreal, você fará parte de uma das melhores empresas de tecnologia do Brasil. Nossa trajetória iniciou há mais de trinta anos com uma pequena equipe de engenharia apaixonada por inovação. Em 1986, pessoas visionárias fizeram um compromisso com a tecnologia e sua capacidade de transformar o mundo. Aquele, seria apenas o começo de uma trajetória que nos tornou referência sólida no mercado e uma das melhores empresas para se trabalhar.Responsabilidades e atribuiçõesConhecimento e experiência em ETL;Scripting;Capacidade de documentação de soluções;Elaboração de dicionário de dados e de indicadores.Requisitos e qualificaçõesConhecimentos em Databricks;Experiência em Phyton;Experiência com banco SQL Server Azure;Modelagem de dados;Cloud.Informações adicionaisBenefícios e Vantagens:Plano de Saúde;Plano Odontológico;Seguro de Vida;Vale-transporte;Vale-refeição.Informações adicionais:Home office
      ","
            Não aplicável
          ","
          Tempo integral
        ","
            Engenharia e Tecnologia da informação
          ","
          Serviços e consultoria de TI
          ",https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","
        Como Cientista de Dados na Montreal, você fará parte de uma das melhores empresas de tecnologia do Brasil. Nossa trajetória iniciou há mais de trinta anos com uma pequena equipe de engenharia apaixonada por inovação. Em 1986, pessoas visionárias fizeram um compromisso com a tecnologia e sua capacidade de transformar o mundo. Aquele, seria apenas o começo de uma trajetória que nos tornou referência sólida no mercado e uma das melhores empresas para se trabalhar.Responsabilidades e atribuiçõesConhecimento e experiência em ETL;Scripting;Capacidade de documentação de soluções;Elaboração de dicionário de dados e de indicadores.Requisitos e qualificaçõesConhecimentos em Databricks;Experiência em Phyton;Experiência com banco SQL Server Azure;Modelagem de dados;Cloud.Informações adicionaisBenefícios e Vantagens:Plano de Saúde;Plano Odontológico;Seguro de Vida;Vale-transporte;Vale-refeição.Informações adicionais:Home office
      ","
            Não aplicável
          ","
          Tempo integral
        ","
            Engenharia e Tecnologia da informação
          ","
          Serviços e consultoria de TI
          ",https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","
        Como Cientista de Dados na Montreal, você fará parte de uma das melhores empresas de tecnologia do Brasil. Nossa trajetória iniciou há mais de trinta anos com uma pequena equipe de engenharia apaixonada por inovação. Em 1986, pessoas visionárias fizeram um compromisso com a tecnologia e sua capacidade de transformar o mundo. Aquele, seria apenas o começo de uma trajetória que nos tornou referência sólida no mercado e uma das melhores empresas para se trabalhar.Responsabilidades e atribuiçõesConhecimento e experiência em ETL;Scripting;Capacidade de documentação de soluções;Elaboração de dicionário de dados e de indicadores.Requisitos e qualificaçõesConhecimentos em Databricks;Experiência em Phyton;Experiência com banco SQL Server Azure;Modelagem de dados;Cloud.Informações adicionaisBenefícios e Vantagens:Plano de Saúde;Plano Odontológico;Seguro de Vida;Vale-transporte;Vale-refeição.Informações adicionais:Home office
      ","
            Não aplicável
          ","
          Tempo integral
        ","
            Engenharia e Tecnologia da informação
          ","
          Serviços e consultoria de TI
          ",https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2023-04-29,Porto,CIENTISTA DE DADOS PL,"São Paulo, SP","
        Como Cientista de Dados na Montreal, você fará parte de uma das melhores empresas de tecnologia do Brasil. Nossa trajetória iniciou há mais de trinta anos com uma pequena equipe de engenharia apaixonada por inovação. Em 1986, pessoas visionárias fizeram um compromisso com a tecnologia e sua capacidade de transformar o mundo. Aquele, seria apenas o começo de uma trajetória que nos tornou referência sólida no mercado e uma das melhores empresas para se trabalhar.Responsabilidades e atribuiçõesConhecimento e experiência em ETL;Scripting;Capacidade de documentação de soluções;Elaboração de dicionário de dados e de indicadores.Requisitos e qualificaçõesConhecimentos em Databricks;Experiência em Phyton;Experiência com banco SQL Server Azure;Modelagem de dados;Cloud.Informações adicionaisBenefícios e Vantagens:Plano de Saúde;Plano Odontológico;Seguro de Vida;Vale-transporte;Vale-refeição.Informações adicionais:Home office
      ","
            Não aplicável
          ","
          Tempo integral
        ","
            Engenharia e Tecnologia da informação
          ","
          Serviços e consultoria de TI
          ",https://br.linkedin.com/jobs/view/cientista-de-dados-pl-at-porto-3592325108?refId=6D9i2g44yenXmjvyNOy0sQ%3D%3D&trackingId=XYQ5IHgy6TYtKCqt8i6rSg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
